B,Consent Given,ID_Removed,20,Female,VLFI Score,6,VPT Experimental,27/01/2022 12:02,16,544,Practice,"[1, 2, 4, 6, 8, 10, 16, '-'] = 5/8",0.625,30 seconds,Archer3,3,"[1, 3, 4, 5, 6, 7, 8, 9] = 7/8",0.875,10,10 seconds,Boomerang4,4,"[1, 4, 5, 6, 7, 8, 14, 16] = 6/8",0.75,50,50 seconds,Boxing4,4,"[2, 4, 5, 6, 7, 9, 10, 13] = 5/8",0.625,120,2 minuets,Bus5,5,"[2, 3, 7, 9, 10, 11, 13, 16] = 3/8",0.375,60,1 min,Dog5,5,"[2, 4, 6, 7, 8, 9, 15, '-'] = 5/8",0.625,30,30 seconds,Sailor3,3,"[1, 2, 3, 4, 5, 6, 7, 8] = 8/8",1,3600,60 min,0.708333333,the dog and owner were playing fetch and the dog got the ball ,4,the man was waiting for the bus and was checking his watch when the bus came,5,the man held an envolope with the word winner on and was giving it to someone on stage,5,cant remember ,4,cant remember ,4,cant remember ,5,he was looking for it,3,3,4,none,beard,516
C,Consent Given,ID_Removed,19,Female,VLFI Score,6,Corsi Experimental,27/01/2022 13:01,5,497,Practice,"['1', '3', '2', '4', '5'] = 3/5",0.6,5 seconds,Archer4,4,"['1', '2', '3', '4', '5'] = 5/5",1,45,45 seconds,Boomerang5,5,"['1', '2', '3', '4', '5'] = 5/5",1,10,10 seconds,Boxing5,5,"['1', '2', '3', '4', '5'] = 5/5",1,120,2 minutes,Bus3,3,"['2', '1', '5', '4', '3'] = 1/5",1,30,30 seconds,Dog3,3,"['1', '2', '3', '4', '5'] = 5/5",1,10,10 seconds,Sailor4,4,"['1', '2', '3', '4', '5'] = 5/5",1,7200,2 minutes,1,"a man looked at a map, then he was on a boat sailing, then he arrived at an island",4,"a man threw a ball for a dog, the dog ran after it, and picked it up in his mouth",3,"A man threw a frisbe, he looked down at his watch, and then it his someone in the head",4,"Two men were wrestling, there was a close up of one of the mens faces with his boxing gloves held up, and then we saw the other wrestler on the floor",5,"A man looked at his watch waiting for the bus, a owman looked as though she was running for the bus, the man stood outside the doors of the bus.",5,"there was someone looking down at something, and then there was a man",4,3,stripes,mustache and beard,2,"stand there, looked at his watch",53,803
A,Consent Given,ID_Removed,20,Non-Binary,VLFI Score,6,Digit Experimental,27/01/2022 14:02,5,595,Practice,"59138 = ['5', '9', '1', '3', '8'] = 5/5",1,5 seconds,Archer5,5,"28905 = ['2', '8', '9', '0', '5'] = 5/5",1,3,a few seconds,Boomerang3,3,"41596 = ['8', '9', '5', '1', '3'] = 1/5",0.2,10,10 seconds,Boxing3,3,"81962 = ['8', '2', '9', '6', '2'] = 4/5",0.8,1,a second,Bus4,4,"62583 = ['6', '2', '5', '8', '3'] = 5/5",1,1,1 second,Dog4,4,"98215 = ['8', '2', '9', '1', '5'] = 2/5",0.4,3,a few seconds,Sailor5,5,"83150 = ['8', '3', '1', '5', '0'] = 5/5",/,86400,A while ,0.68,"Guy threw the ball, dog excitedly ran to get it, then brought it back. ",4,"Guy was looking at a map, two sailing panels, and then arrived at land",4,"A guy was waiting at a bus stop, he looked at his watch, then the bus came with the time on his watch on 2:16?",4,"A guy threw a boomerrang, and it came back and hit him in the head",3,"Two men boxing one threw a punch, and knocked the other out",3,/,/,smiled,stripes,two,none,3,216,642
C,Consent Given,ID_Removed,20,Female,VLFI Score,2,VPT Experimental,09/02/2022 10:05,18,501,Practice,"[1, 2, 4, 5, 7, 9, 10, 13, 14] = 6/9",0.666666667, 30 seconds,Archer4,4,"[1, 2, 3, 4, 5, 6, 8, 9, 13] = 8/9",0.888888889,10, 10 seconds,Boomerang5,5,"[2, 3, 6, 8, 10, 14, 16, '-', '-'] = 4/9",0.444444444,120, 2 minutes,Boxing5,5,"[1, 4, 7, 10, 12, 13, 15, 16, 17] = 3/9",0.333333333,300, 5 minutes,Bus3,3,"[3, 10, 11, 12, 15, 17, 18, '-', '-'] = 1/9",0.111111111,60, 1 minute,Dog3,3,"[1, 4, 5, 6, 7, 8, 9, 12, 16] = 7/9",0.777777778,15, 15 seconds,Sailor4,4,"[2, 5, 7, 8, 13, 15, '-', '-', '-'] = 4/9",0.444444444,7200, 1 hour,0.5,A man was announcing who the winner to a competition was,4,A man was waiting for his bus to arrive,4,A man was throwing a ball for his dog to go and fetch,4,Two men were in a boxing ring fighting and one of them gave a knockout punch to their opponent which resulted in them winning the fight,4,"A man threw a frisbee , looked around to see where it went but then the frisbee they hit him on the head",4,/,/,3,looking up at the sky,86,/,5,Had a beard,573
A,Consent Given,ID_Removed,41,Female,VLFI Score,4.5,Corsi Experimental,09/02/2022 11:02,6,633,Practice,"['1', '2', '3', '4', '5', '6'] = 6/6",1, 2 minutes,Archer5,5,"['3', '1', '2', '4', '6', '5'] = 1/6",0.166666667,15, 15 seconds,Boomerang3,3,"['5', '6', '4', '3', '2', '1'] = 0/6",0,60, 1 minute,Boxing3,3,"['3', '1', '5', '6', '2', '4'] = 0/6",0,20, 20 seconds,Bus4,4,"['5', '2', '3', '4', '6', '1'] = 3/6",0.5,300, 5 minutes,Dog4,4,"['1', '2', '3', '4', '5', '6'] = 6/6",1,30, 30 seconds,Sailor5,5,"['6', '4', '3', '2', '1', '5'] = 1/6",0.166666667,10800, 2 hours,0.305555556,i can't remember,3,man throwing a boomerang,3,man waiting and boarding a bus,4,dog fetching a ball,3,archer shooting an arrow,3,man sailing a boat,4,2,/,none,none,45,sweated,464
B,Consent Given,ID_Removed,26,Male,VLFI Score,13.5,Digit Experimental,09/02/2022 11:37,6,556,Practice,"938627 = ['9', '3', '8', '6', '1', '2'] = 4/6",0.666666667,3,Archer3,3,"678421 = ['6', '7', '8', '4', '2', '1'] = 6/6",1,60,1,Boomerang4,4,"365179 = ['3', '6', '5', '1', '7', '9'] = 6/6",1,7,7 seconds,Boxing4,4,"250148 = ['2', '5', '0', '1', '4', '8'] = 6/6",1,120,2,Bus5,5,"564298 = ['5', '6', '4', '2', '9', '8'] = 6/6",1,60,1 minute,Dog5,5,"340257 = ['3', '1', '7', '2', '5', '7'] = 4/6",0.666666667,10,10,Sailor3,3,"213586 = ['2', '5', '3', '9', '1', '8'] = 2/6",0.333333333,1800,1 day,0.833333333,Man Waiting for bus,5,Boxing match with bald man winning,4,Sailing  to an island ,3,Boomarang being thrown and hitting man in the head ,4,Stick being thrown for dog and dog returning it,4,/,/,2,/,4,/,looked at his watch and tapped his foot,beard and goatee,537
A,Consent Given,ID_Removed,18,Female,VLFI Score,5.75,VPT Experimental,09/02/2022 16:07,16,606,Practice,"[1, 3, 4, 5, 6, 7, 8, '-'] = 7/8",0.875, 2 minutes,Archer5,5,"[3, 5, 8, 9, 10, 13, 15, '-'] = 3/8",0.375,30, 30 seconds,Boomerang3,3,"[1, 2, 3, 5, 7, 8, 15, '-'] = 6/8",0.75,30, 30 seconds,Boxing3,3,"[1, 2, 3, 4, 5, 6, 7, 8] = 8/8",1,10, 10 seconds,Bus4,4,"[1, 2, 3, 4, 5, 6, 7, 8] = 8/8",1,60,  1 minute,Dog4,4,"[1, 2, 3, 4, 5, 6, 7, 8] = 8/8",1,60, 1 minute,Sailor5,5,"[1, 2, 3, 4, 5, 6, 7, 8] = 8/8",1,7200, 2 hours,0.854166667,a person waiting for a bus,2,a boomerang being thrown,1,a boxing match,1,someone throwing a ball for a dog,2,a sailor reaching land,3,a person shooting an arrow,3,a beard,3,stripes,none,whilstling,206,605
B,Consent Given,ID_Removed,19,Female,VLFI Score,9,Corsi Experimental,09/02/2022 16:37,4,476,Practice,"['1', '2', '3', '4'] = 4/4",1, 5 seconds,Archer3,3,"['1', '2', '3', '4'] = 4/4",1,3, 3 seconds,Boomerang4,4,"['1', '2', '3', '4'] = 4/4",1,30, 30 seconds,Boxing4,4,"['1', '2', '3', '4'] = 4/4",1,10, 10 seconds,Bus5,5,"['2', '1', '3', '4'] = 2/4",0.5,300, 5 minutes,Dog5,5,"['1', '2', '3', '4'] = 4/4",1,30, 30 seconds,Sailor3,3,"['1', '2', '3', '4'] = 4/4",1,18000, 3 hours,0.916666667,dog - a man throws his dog a ball and the dog retrieves it.,4,"boxer - two boxers are in the ring, boxer A throws two punches at boxer B and knocks him out.",4,a cat? kite? ,4,"boat - a man is looking at his map on a boat in the middle of the sea, he travels back to shore ",3,archery - a man pulls back his arrow and fires it at the target board ,4,bus- a man looks at his watch at the bust stop inpatiently until the bus arrives.,5,39,a beard,4,look at his watch ,3,no pattern,819
C,Consent Given,ID_Removed,18,Female,VLFI Score,4.625,Digit Experimental,10/02/2022 10:00,5,386,Practice,"12387 = ['1', '2', '3', '6', '7'] = 4/5",0.8,20,Archer4,4,"98613 = ['5', '6', '1', '7', '3'] = 1/5",0.2,20,20 seconds,Boomerang5,5,"60928 = ['6', '0', '9', '2', '8'] = 5/5",1,180,3 minutes,Boxing5,5,"95317 = ['9', '7', '3', '5', '0'] = 2/5",0.4,240,4 minutes,Bus3,3,"46573 = ['4', '6', '9', '7', '3'] = 4/5",0.8,600,10 minutes,Dog3,3,"91026 = ['9', '1', '0', '6', '2'] = 3/5",0.6,60,1 minute,Sailor4,4,"96823 = ['9', '6', '0', '3', '1'] = 2/5",0.4,7200,30 minutes,0.566666667,dog chasing ball,4,sailor on boat,4,man throwing and being hit by boomerang,5,man waiting for bus,4,dog chasing man ,4,boat sailing away,5,beard and moustache,4,67,look at his watch,5,zig zag,595
B,Consent Given,ID_Removed,18,Female,VLFI Score,3,VPT Experimental,10/02/2022 16:05,18,653,Practice,"[1, 5, 6, 7, 8, 9, 11, 18, '-'] = 6/9",0.666666667, 15 minutes,Archer3,3,"[1, 2, 3, 5, 6, 7, 8, 9, '-'] = 8/9",0.888888889,5, 5 seconds,Boomerang4,4,"[2, 3, 4, 5, 6, 8, 17, '-', '-'] = 6/9",0.666666667,120, 2 minutes,Boxing4,4,"[1, 2, 4, 5, 6, 7, 8, 9, 13] = 8/9",0.888888889,120, 2 minutes,Bus5,5,"[1, 2, 3, 4, 5, 6, 7, 8, '-'] = 8/9",0.888888889,900, 15 minutes,Dog5,5,"[1, 2, 4, 5, 6, 7, 8, 9, '-'] = 8/9",0.888888889,30, 30 seconds,Sailor3,3,"[3, 8, 9, 12, 13, 15, 16, 17, '-'] = 3/9",0.333333333,10800, 2 hours,0.759259259,/,/,/,/,/,/,a man was playing freezbe and he threw it and waited for it to come back to him but took a while. then he got smacked in the back of the head with it.,4,A man was lost sailing his boat so reffered to his map to try and find land.,4,a dog and it's owner were out in a field playing fetch ,4,spots ,checked his watch,three ,four,27,no facial hair,679
